"state","num_tweets"
"Pennsylvania",550522
"South Carolina",150742
"Vermont",4739
"Alabama",324833
"North Carolina",319615
"Iowa",123834
"Washington",176890
"Maryland",295776
"Arkansas",261248
"Connecticut",224975
"Wisconsin",110180
"New Jersey",241390
"Mississippi",78332
"Oregon",64463
"Texas",1254674
"Oklahoma",100366
"California",2102716
"Michigan",331995
"Utah",44685
"Kentucky",134201
"Idaho",69450
"Louisiana",182496
"New Hampshire",45607
"Florida",1115845
"Missouri",182144
"Tennessee",219949
"Colorado",110342
"Maine",34169
"Virginia",254719
"Delaware",23023
"Georgia",738795
"North Dakota",7338
"Minnesota",99587
"Illinois",733676
"Arizona",165162
"Ohio",464386
"New York",933000
"Nevada",194254
"Kansas",102600
"Rhode Island",38125
"New Mexico",72019
"Indiana",213748
"Wyoming",3517
"Nebraska",37531
"West Virginia",55887
"Montana",9448
"Massachusetts",458221
"South Dakota",13741
