"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd","es.anew.arousal.delta_one_of_5__max","es.anew.arousal.delta_one_of_5__mean","es.anew.arousal.delta_one_of_5__mean_word_count_per_tweet","es.anew.arousal.delta_one_of_5__median","es.anew.arousal.delta_one_of_5__min","es.anew.arousal.delta_one_of_5__mode","es.anew.arousal.delta_one_of_5__num_tweets","es.anew.arousal.delta_one_of_5__num_tweets_percentage","es.anew.arousal.delta_one_of_5__sd","es.anew.arousal.more_than_7__max","es.anew.arousal.more_than_7__mean","es.anew.arousal.more_than_7__mean_word_count_per_tweet","es.anew.arousal.more_than_7__median","es.anew.arousal.more_than_7__min","es.anew.arousal.more_than_7__mode","es.anew.arousal.more_than_7__num_tweets","es.anew.arousal.more_than_7__num_tweets_percentage","es.anew.arousal.more_than_7__sd","es.anew.dominance.delta_one_of_5__max","es.anew.dominance.delta_one_of_5__mean","es.anew.dominance.delta_one_of_5__mean_word_count_per_tweet","es.anew.dominance.delta_one_of_5__median","es.anew.dominance.delta_one_of_5__min","es.anew.dominance.delta_one_of_5__mode","es.anew.dominance.delta_one_of_5__num_tweets","es.anew.dominance.delta_one_of_5__num_tweets_percentage","es.anew.dominance.delta_one_of_5__sd","es.anew.dominance.more_than_7__max","es.anew.dominance.more_than_7__mean","es.anew.dominance.more_than_7__mean_word_count_per_tweet","es.anew.dominance.more_than_7__median","es.anew.dominance.more_than_7__min","es.anew.dominance.more_than_7__mode","es.anew.dominance.more_than_7__num_tweets","es.anew.dominance.more_than_7__num_tweets_percentage","es.anew.dominance.more_than_7__sd","es.anew.valence.delta_one_of_5__max","es.anew.valence.delta_one_of_5__mean","es.anew.valence.delta_one_of_5__mean_word_count_per_tweet","es.anew.valence.delta_one_of_5__median","es.anew.valence.delta_one_of_5__min","es.anew.valence.delta_one_of_5__mode","es.anew.valence.delta_one_of_5__num_tweets","es.anew.valence.delta_one_of_5__num_tweets_percentage","es.anew.valence.delta_one_of_5__sd","es.anew.valence.more_than_7__max","es.anew.valence.more_than_7__mean","es.anew.valence.more_than_7__mean_word_count_per_tweet","es.anew.valence.more_than_7__median","es.anew.valence.more_than_7__min","es.anew.valence.more_than_7__mode","es.anew.valence.more_than_7__num_tweets","es.anew.valence.more_than_7__num_tweets_percentage","es.anew.valence.more_than_7__sd"
"Alabama,Autauga County",7.72,6.28,NA,6.41,1.77,6.46,NA,NA,1.14,7.78,7.41,NA,7.35,7.07,7.24,NA,NA,0.29,7.72,6.11,NA,6.41,1.77,6.46,NA,NA,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Baldwin County",8.41,6.49,NA,6.41,1.23,6.46,NA,NA,1.05,8.5,7.54,NA,7.36,7.03,7.24,NA,NA,0.38,8.41,6.4,NA,6.41,1.23,6.46,NA,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Barbour County",7.72,6.42,NA,6.41,1.7,6.46,NA,NA,1.05,7.72,7.34,NA,7.33,7.03,7.24,NA,NA,0.25,7.72,6.3,NA,6.41,1.7,6.46,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Bibb County",7.93,6.61,NA,6.41,1.49,6.46,NA,NA,1.11,8.43,7.5,NA,7.36,7.03,7.24,NA,NA,0.37,7.93,6.61,NA,6.41,1.49,6.46,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Blount County",8.07,6.62,NA,6.41,6.41,6.46,NA,NA,0.4,8.07,7.31,NA,7.33,7.04,7.24,NA,NA,0.32,8.07,6.44,NA,6.41,4.53,6.46,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Bullock County",8.54,6.19,NA,6.89,1.17,8.02,NA,NA,2.06,8.54,7.85,NA,7.92,7.01,8.02,NA,NA,0.41,8.54,6.04,NA,6.56,1.17,6.85,NA,NA,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Butler County",7.72,6.38,NA,6.41,1.48,6.46,NA,NA,1.13,7.72,7.42,NA,7.36,7.33,7.44,NA,NA,0.16,7.72,6.24,NA,6.41,1.48,6.46,NA,NA,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Calhoun County",8.5,6.24,NA,6.41,1.48,6.46,NA,NA,1.33,8.5,7.47,NA,7.36,7.03,7.44,NA,NA,0.29,8.5,6.16,NA,6.41,1.48,6.46,NA,NA,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Chambers County",8.37,5.33,NA,6.41,1.49,6.46,NA,NA,2.25,8.37,7.51,NA,7.36,7.07,7.44,NA,NA,0.33,8.37,5.32,NA,6.41,1.49,6.46,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alabama,Cherokee County",8.37,6.78,NA,6.41,6.29,6.46,NA,NA,0.65,8.37,7.68,NA,7.33,7.33,7.24,NA,NA,0.6,8.37,6.78,NA,6.41,6.29,6.46,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
