word,valence,arousal,dominance
abandonado,1.68,5.88,3.11
abejas,3.18,6.59,3.42
aborto,2.80,6.07,4.17
abrasador,2.46,6.00,4.00
abrazo,8.13,5.70,6.12
abrumado,2.90,5.36,3.84
absurdo,3.80,4.90,4.44
abundancia,6.80,5.40,5.68
aburrido,2.33,2.90,4.78
accidente,1.32,7.58,2.62
ácido,3.41,5.57,4.29
acogedor,7.64,4.37,6.08
acontecimiento,5.99,5.81,5.01
acre,4.23,4.19,4.50
activar,6.00,6.50,5.82
acuerdo,7.24,4.83,6.22
acurrucarse,6.98,4.28,6.01
adicto,2.41,5.77,3.28
adinerado,6.21,5.58,5.69
admirado,7.33,6.53,5.48
adorable,7.48,5.24,5.76
adulto,5.68,4.90,5.16
afectar,3.48,5.61,3.77
afecto,8.10,6.19,5.83
afianzar,5.93,5.46,5.66
afligido,1.96,4.41,3.93
afortunado,7.71,6.26,5.28
agilidad,6.73,5.97,5.82
agobiado,2.06,6.73,3.48
agonía,1.74,6.20,2.94
agradecido,7.84,5.50,5.79
agresión,1.67,6.88,3.72
agresivo,1.96,6.94,3.69
agua,7.47,4.80,5.72
aguanieve,5.11,4.79,4.21
aguja,3.18,5.66,4.43
ahogarse,1.32,7.61,2.41
ahorrar,6.40,4.94,6.09
aire,6.83,4.19,4.60
alba,7.48,4.18,4.46
alcohólico,2.01,5.70,3.51
alegre,8.41,7.66,6.37
alergia,4.01,5.84,4.11
alerta,3.69,7.58,4.17
almohada,6.79,3.10,6.29
amabilidad,8.22,5.26,6.24
amable,7.81,4.92,6.22
amado,7.99,6.43,5.79
amanecer,8.01,4.08,4.50
amarillo,5.67,4.84,5.17
ambición,5.01,6.42,5.60
ambulancia,2.34,7.44,3.58
amenaza,1.99,7.10,2.86
amigable,8.14,5.08,6.24
amigo,8.41,6.73,6.04
amor,8.50,7.46,4.86
ampolla,2.54,4.99,4.33
ángel,6.87,4.86,4.49
angustiado,1.67,5.89,3.33
anhelo,4.42,5.27,4.39
ánimo,7.36,6.72,6.19
ansioso,3.63,7.70,3.14
aplastado,2.28,5.59,3.21
aplausos,7.67,7.39,6.36
aprender,7.13,6.00,6.33
aprobación,7.11,5.94,5.81
apuros,2.61,6.86,3.68
araña,3.07,6.40,4.02
árbol,6.53,4.18,5.07
arco-iris,7.39,4.81,3.73
arma,1.81,6.26,2.90
armario,5.10,4.31,5.16
arrepentido,4.50,5.14,4.93
arrogante,2.07,5.83,4.14
arte,7.09,5.31,4.92
as,6.41,5.51,5.17
ascensor,4.99,4.71,4.73
asediado,2.40,6.18,3.51
asesinar,1.18,7.44,2.72
asesino,1.23,7.49,2.16
asfixiarse,1.48,7.80,2.33
asiento,5.70,4.00,5.77
asombrado,5.52,5.96,4.26
áspero,3.27,4.53,4.39
asqueado,1.81,5.58,4.32
asqueroso,1.86,6.13,4.12
astronauta,5.67,5.38,3.93
asustado,2.54,6.56,3.12
ataúd,1.63,6.06,2.81
aterrorizado,1.96,6.79,2.64
ático,6.74,5.00,4.99
atracador,2.02,7.32,2.34
atrevido,6.51,6.71,5.38
atrocidad,1.74,6.68,3.22
aurora,7.29,4.92,4.87
autobús,4.51,5.00,4.43
avalancha,2.46,7.20,2.48
avaricia,2.44,5.54,4.14
avenida,4.86,5.01,4.16
aventura,7.76,7.62,5.48
avergonzado,2.51,5.59,3.44
avión,6.13,6.07,4.96
avispa,2.54,7.01,3.12
azúcar,6.68,5.59,5.67
azul,7.01,3.99,5.39
bailarín,7.14,6.52,5.43
bala,2.01,7.18,3.59
bancarrota,1.63,6.11,2.69
banco,5.14,4.38,5.09
bandera,4.92,4.36,5.04
bañera,6.76,3.66,5.94
baño,7.21,4.08,6.59
bar,6.53,6.02,5.32
barco,6.00,5.08,5.02
