"state","gallup_2012_score"
"alabama",64.2
"arizona",67.1
"arkansas",64.1
"california",67.4
"colorado",69.7
"connecticut",67.6
"delaware",66.6
"florida",65.8
"georgia",66.1
"idaho",67.1
"illinois",66.6
"indiana",65.1
"iowa",68.1
"kansas",67.6
"kentucky",62.7
"louisiana",64.7
"maine",67.3
"maryland",68.0
"massachusetts",68.1
"michigan",65.6
"minnesota",68.9
"mississippi",63.6
"missouri",65.5
"montana",68.5
"nebraska",68.5
"nevada",65.2
"new hampshire",68.4
"new jersey",66.1
"new mexico",66.7
"new york",66.2
"north carolina",65.7
"north dakota",67.4
"ohio",64.6
"oklahoma",65.2
"oregon",67.1
"pennsylvania",66.5
"rhode island",65.5
"south carolina",65.2
"south dakota",68.0
"tennessee",64.0
"texas",66.6
"utah",68.8
"vermont",68.6
"virginia",67.7
"washington",67.7
"west virginia",61.3
"wisconsin",67.3
"wyoming",67.9
