"feature","coefficient"
"en.hedo.happiness.delta_one_of_5__max",-1.98528820156864
"en.hedo.happiness.delta_one_of_5__mean",5.15238590284835
"en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet",NA
"en.hedo.happiness.delta_one_of_5__median",NA
"en.hedo.happiness.delta_one_of_5__min",NA
"en.hedo.happiness.delta_one_of_5__mode",NA
"en.hedo.happiness.delta_one_of_5__num_tweets",-1.96452200390667e-06
"en.hedo.happiness.delta_one_of_5__num_tweets_percentage",0.404785689097224
"en.hedo.happiness.delta_one_of_5__sd",NA
"en.hedo.happiness.more_than_7__max",NA
"en.hedo.happiness.more_than_7__mean",NA
"en.hedo.happiness.more_than_7__mean_word_count_per_tweet",5.75636047583877
"en.hedo.happiness.more_than_7__median",NA
"en.hedo.happiness.more_than_7__min",NA
"en.hedo.happiness.more_than_7__mode",-2.48530638503805
"en.hedo.happiness.more_than_7__num_tweets",NA
"en.hedo.happiness.more_than_7__num_tweets_percentage",NA
"en.hedo.happiness.more_than_7__sd",0.305097015051368
"en.hedo.happiness.no_filter__max",-2.76825281985579
"en.hedo.happiness.no_filter__mean",NA
"en.hedo.happiness.no_filter__mean_word_count_per_tweet",NA
"en.hedo.happiness.no_filter__median",NA
"en.hedo.happiness.no_filter__min",NA
"en.hedo.happiness.no_filter__mode",NA
"en.hedo.happiness.no_filter__num_tweets",-1.12176273222682e-06
"en.hedo.happiness.no_filter__num_tweets_percentage",0.249171529116472
"en.hedo.happiness.no_filter__sd",NA
