"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd"
"Alabama,Autauga County",7.72,6.28,1.29,6.41,1.77,6.46,38,1.7,1.14,7.78,7.41,1.17,7.35,7.07,7.24,6,0.27,0.29,7.72,6.11,1.31,6.41,1.77,6.46,42,1.88,1.18
"Alabama,Baldwin County",8.41,6.49,1.2,6.41,1.23,6.46,156,3.02,1.05,8.5,7.54,1.03,7.36,7.03,7.24,38,0.74,0.38,8.41,6.4,1.19,6.41,1.23,6.46,165,3.2,1.08
"Alabama,Barbour County",7.72,6.42,1.29,6.41,1.7,6.46,41,2.97,1.05,7.72,7.34,1,7.33,7.03,7.24,9,0.65,0.25,7.72,6.3,1.27,6.41,1.7,6.46,44,3.19,1.1
"Alabama,Bibb County",7.93,6.61,1.17,6.41,1.49,6.46,30,2.52,1.11,8.43,7.5,1,7.36,7.03,7.24,13,1.09,0.37,7.93,6.61,1.17,6.41,1.49,6.46,30,2.52,1.11
"Alabama,Blount County",8.07,6.62,1.07,6.41,6.41,6.46,41,2.62,0.4,8.07,7.31,1,7.33,7.04,7.24,9,0.58,0.32,8.07,6.44,1.07,6.41,4.53,6.46,46,2.94,0.66
"Alabama,Bullock County",8.54,6.19,1.27,6.89,1.17,8.02,2701,28.21,2.06,8.54,7.85,1.14,7.92,7.01,8.02,1368,14.29,0.41,8.54,6.04,1.32,6.56,1.17,6.85,3112,32.5,1.88
"Alabama,Butler County",7.72,6.38,1.2,6.41,1.48,6.46,76,2.61,1.13,7.72,7.42,1,7.36,7.33,7.44,15,0.51,0.16,7.72,6.24,1.19,6.41,1.48,6.46,84,2.88,1.17
"Alabama,Calhoun County",8.5,6.24,1.18,6.41,1.48,6.46,702,3.37,1.33,8.5,7.47,1.04,7.36,7.03,7.44,129,0.62,0.29,8.5,6.16,1.18,6.41,1.48,6.46,744,3.57,1.32
"Alabama,Chambers County",8.37,5.33,1.21,6.41,1.49,6.46,105,2.59,2.25,8.37,7.51,1.05,7.36,7.07,7.44,21,0.52,0.33,8.37,5.32,1.22,6.41,1.49,6.46,110,2.72,2.18
"Alabama,Cherokee County",8.37,6.78,1.18,6.41,6.29,6.46,11,2.6,0.65,8.37,7.68,1,7.33,7.33,7.24,3,0.71,0.6,8.37,6.78,1.18,6.41,6.29,6.46,11,2.6,0.65
"Alabama,Choctaw County",7.36,6.66,1,6.5,6.41,6.46,6,1.51,0.37,7.36,7.36,1,7.36,7.36,7.36,1,0.25,NA,7.36,6.66,1,6.5,6.41,6.46,6,1.51,0.37
"Alabama,Clarke County",8.37,6.44,1.24,6.41,1.48,6.46,67,2.28,1.14,8.37,7.47,1.13,7.36,7.03,7.44,15,0.51,0.38,8.37,6.38,1.26,6.41,1.48,6.46,70,2.39,1.15
"Alabama,Clay County",8.5,6.47,1.19,6.41,1.68,6.46,26,4.5,1.81,8.5,8.07,1,8.07,7.21,8.41,9,1.56,0.49,8.5,6.47,1.19,6.41,1.68,6.46,26,4.5,1.81
"Alabama,Cleburne County",7.36,6.61,1.11,6.41,6.41,6.46,9,3.52,0.36,7.36,7.21,1,7.21,7.07,7.05,2,0.78,0.21,7.36,6.61,1.11,6.41,6.41,6.46,9,3.52,0.36
"Alabama,Coffee County",7.48,6.31,1.16,6.41,1.49,6.46,25,1.81,1.34,7.48,7.28,1,7.33,7.07,7.24,7,0.51,0.15,7.48,6.24,1.15,6.41,1.49,6.46,27,1.96,1.32
"Alabama,Colbert County",7.93,6,1.33,6.41,1.49,6.46,21,4.07,1.72,7.93,7.42,1.25,7.33,7.07,7.24,4,0.78,0.36,7.93,6,1.33,6.41,1.49,6.46,21,4.07,1.72
"Alabama,Coosa County",7.72,6.3,1.23,6.41,1.68,6.46,13,1.16,1.47,7.72,7.5,1.67,7.72,7.07,7.83,3,0.27,0.38,7.72,6.3,1.23,6.41,1.68,6.46,13,1.16,1.47
"Alabama,Covington County",8.5,6.37,1.15,6.53,1.32,6.46,232,6.5,1.69,8.5,7.88,1.08,7.92,7.03,7.83,78,2.18,0.44,8.5,6.22,1.2,6.41,1.32,6.46,256,7.17,1.61
"Alabama,Crenshaw County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,5.96,NA,6.41,4.17,6.46,NA,NA,1
"Alabama,Cullman County",7.72,6.32,1.16,6.41,1.42,6.46,147,2.29,1.13,7.72,7.32,1.04,7.33,7.03,7.44,28,0.44,0.16,7.72,6.27,1.17,6.41,1.42,6.46,152,2.37,1.12
"Alabama,Dale County",7.36,6.76,1.08,6.41,6.41,6.46,12,4.12,0.44,7.36,7.24,1,7.33,7.03,7.24,5,1.72,0.14,7.36,6.62,1.08,6.41,4.98,6.46,13,4.47,0.65
"Alabama,Dallas County",7.79,6.37,1.12,6.41,1.34,6.46,89,2.54,1.1,7.79,7.35,1.06,7.36,7.07,7.05,17,0.48,0.28,7.79,6.32,1.12,6.41,1.34,6.46,93,2.65,1.11
"Alabama,Dekalb County",8.37,6.68,1.29,6.41,6.41,6.46,34,2.08,0.5,8.37,7.5,1,7.33,7.19,7.24,8,0.49,0.38,7.72,6.55,1.31,6.41,5,6.46,36,2.2,0.55
"Alabama,Elmore County",7.72,6.53,1.05,6.41,6.02,6.46,21,2.72,0.41,7.72,7.48,1,7.36,7.36,7.44,3,0.39,0.21,7.72,6.23,1.04,6.41,4.17,6.46,25,3.24,0.82
"Alabama,Escambia County",8.19,6.11,1.26,6.41,1.91,6.46,23,4.96,1.77,8.19,7.61,1.14,7.46,7.22,7.44,7,1.51,0.36,8.19,5.93,1.22,6.41,1.91,6.46,27,5.82,1.69
"Alabama,Etowah County",8.5,6.27,1.16,6.41,1.48,6.46,214,1.71,1.23,8.5,7.35,1.09,7.33,7.03,7.24,34,0.27,0.31,8.5,6.19,1.15,6.41,1.48,6.46,227,1.81,1.24
"Alabama,Franklin County",7.33,6.51,1.11,6.41,6.41,6.46,9,2.32,0.31,7.33,7.33,1,7.33,7.33,7.33,1,0.26,NA,7.33,6.34,1.1,6.41,4.77,6.46,10,2.58,0.62
"Alabama,Geneva County",8.5,6.29,1.23,6.41,1.49,6.46,93,3.2,1.43,8.5,7.62,1.04,7.6,7.07,7.24,23,0.79,0.5,8.5,6.11,1.24,6.41,1.49,6.46,108,3.72,1.36
"Alabama,Greene County",7.72,6.27,1.17,6.41,1.48,6.46,89,2.57,1.23,7.72,7.37,1,7.36,7.07,7.44,15,0.43,0.17,7.72,6.2,1.16,6.41,1.48,6.46,94,2.72,1.24
"Alabama,Hale County",8.5,6.36,1.2,6.41,1.48,6.46,228,2.66,1.19,8.5,7.37,1.1,7.33,7.07,7.44,51,0.59,0.25,8.5,6.26,1.18,6.41,1.48,6.46,244,2.84,1.22
"Alabama,Henry County",7.93,5.6,1.12,6.41,1.89,6.46,17,1.84,2.16,7.93,7.68,1,7.79,7.33,7.83,3,0.32,0.31,7.93,5.52,1.12,6.27,1.89,6.46,24,2.59,1.72
"Alabama,Houston County",8.5,6.27,1.19,6.41,1.48,6.46,279,2.88,1.35,8.5,7.43,1.02,7.36,7.03,7.24,64,0.66,0.28,8.5,6.2,1.19,6.41,1.48,6.46,295,3.04,1.35
"Alabama,Jackson County",8.5,6.1,1.22,6.53,1.17,6.46,3057,7.26,1.99,8.54,7.83,1.11,7.91,7.03,8.02,1246,2.96,0.45,8.5,5.99,1.25,6.41,1.17,6.46,3416,8.11,1.88
"Alabama,Jefferson County",8.48,6.23,1.18,6.41,1.48,6.46,648,2.79,1.38,8.48,7.41,1.02,7.33,7.03,7.44,133,0.57,0.26,8.48,6.15,1.17,6.41,1.48,6.46,688,2.96,1.38
"Alabama,Lamar County",7.36,6.31,1.1,6.41,2.76,6.46,10,1.71,1.31,7.36,7.27,1,7.36,7.09,7.44,3,0.51,0.16,7.36,6.1,1.08,6.41,2.76,6.46,12,2.05,1.29
"Alabama,Lauderdale County",8.5,6.09,1.17,6.41,1.23,6.46,341,3.3,1.69,8.5,7.66,1.02,7.52,7.03,7.44,80,0.77,0.45,8.5,6,1.16,6.41,1.23,6.46,370,3.58,1.65
"Alabama,Lawrence County",7.07,6.52,1.2,6.41,6.29,6.46,5,1.2,0.31,7.07,7.07,1,7.07,7.07,7.07,1,0.24,NA,7.07,6.52,1.2,6.41,6.29,6.46,5,1.2,0.31
"Alabama,Lee County",8.43,6.46,1.2,6.41,1.23,6.46,283,2.96,1.18,8.43,7.55,1.03,7.36,7.07,7.24,73,0.76,0.35,8.37,6.41,1.21,6.41,1.48,6.46,293,3.07,1.14
"Alabama,Limestone County",7.93,6.39,1.15,6.41,1.48,6.46,48,3.03,1.45,7.93,7.45,1,7.36,7.03,7.44,16,1.01,0.27,7.93,6.29,1.14,6.41,1.48,6.46,51,3.22,1.47
"Alabama,Macon County",8.5,6.25,1.16,6.41,1.17,6.46,492,9.16,1.72,8.5,7.87,1.08,8.07,7.01,8.02,172,3.2,0.46,8.5,6.15,1.18,6.41,1.49,6.46,534,9.94,1.64
"Alabama,Madison County",8.07,6.31,1.18,6.41,1.48,6.46,378,2.38,1.26,8.07,7.36,1.01,7.33,7.07,7.24,82,0.52,0.22,8.07,6.23,1.17,6.41,1.48,6.46,399,2.51,1.27
"Alabama,Marengo County",8.5,6.05,1.19,6.41,1.41,6.46,118,3.6,1.82,8.5,7.86,1.07,7.91,7.07,8.02,30,0.92,0.47,8.5,6.01,1.24,6.41,1.41,6.46,124,3.78,1.68
"Alabama,Marion County",7.99,6.47,1.17,6.41,1.49,6.46,144,3.01,1.12,7.99,7.32,1.07,7.33,7.03,7.24,44,0.92,0.19,7.99,6.37,1.16,6.41,1.49,6.46,152,3.18,1.16
"Alabama,Marshall County",7.93,6.36,1.22,6.41,1.49,6.46,72,2.57,1.28,7.93,7.48,1.06,7.36,7.33,7.24,18,0.64,0.24,7.93,6.32,1.23,6.41,1.49,6.46,73,2.6,1.28
"Alabama,Mobile County",8.38,6.25,1.21,6.41,1.48,6.46,523,2.71,1.33,8.38,7.4,1.08,7.36,7.07,7.44,107,0.55,0.26,8.38,6.15,1.2,6.41,1.48,6.46,571,2.96,1.3
"Alabama,Monroe County",8.5,5.89,1.17,6.53,1.23,6.85,118,7.62,2.1,8.5,7.7,1.04,7.72,7.03,7.83,47,3.04,0.4,8.5,5.79,1.2,6.41,1.23,6.46,144,9.3,1.87
"Alabama,Montgomery County",8.41,6.27,1.18,6.41,1.48,6.46,321,2.42,1.22,8.54,7.4,1,7.33,7.03,7.24,51,0.39,0.31,8.41,6.19,1.17,6.41,1.48,6.46,340,2.57,1.22
"Alabama,Morgan County",8.5,6.36,1.18,6.41,1.32,6.46,298,3.4,1.52,8.5,7.65,1.11,7.48,7.03,7.44,93,1.06,0.43,8.5,6.22,1.17,6.41,1.32,6.46,327,3.73,1.49
"Alabama,Perry County",7.72,6.66,1.07,6.41,6.41,6.46,27,2.12,0.44,7.72,7.44,1,7.36,7.36,7.44,6,0.47,0.15,7.72,6.66,1.07,6.41,6.41,6.46,27,2.12,0.44
"Alabama,Pickens County",8.18,6.61,1.32,6.41,6.29,6.46,28,3.11,0.44,8.18,7.45,1.2,7.36,7.07,7.24,5,0.56,0.44,8.18,6.49,1.3,6.41,4.77,6.46,30,3.34,0.61
"Alabama,Pike County",7.36,6.25,1.15,6.41,1.48,6.46,61,2.57,1.27,7.36,7.34,1,7.36,7.17,7.44,11,0.46,0.06,7.36,6.22,1.15,6.41,1.48,6.46,62,2.61,1.27
"Alabama,Randolph County",8.07,6.64,1.12,6.41,1.49,6.46,34,1.59,1.09,8.07,7.66,1,7.81,7.17,7.83,10,0.47,0.33,8.07,6.52,1.11,6.41,1.49,6.46,37,1.73,1.14
"Alabama,Russell County",8.37,6.49,1.28,6.41,1.48,6.46,58,1.82,0.99,8.37,7.46,1,7.33,7.07,7.24,15,0.47,0.36,8.37,6.32,1.25,6.41,1.48,6.46,65,2.04,1.06
"Alabama,Shelby County",7.93,6.46,1.23,6.41,1.49,6.46,30,2.63,1.02,7.93,7.35,1,7.35,7.07,7.24,6,0.53,0.31,7.93,6.42,1.23,6.41,1.49,6.46,31,2.72,1.04
"Alabama,St Clair County",7.36,6.14,1.24,6.41,2.76,6.26,17,4.13,1.33,7.36,7.27,1,7.33,7.07,7.24,4,0.97,0.14,7.36,6.07,1.22,6.41,2.76,6.46,18,4.37,1.32
"Alabama,Sumter County",7.93,6.4,1.11,6.41,1.23,6.46,132,2.97,1.1,7.93,7.4,1,7.36,7.07,7.44,28,0.63,0.2,7.93,6.32,1.11,6.41,1.23,6.46,139,3.12,1.13
"Alabama,Talladega County",8.48,6.26,1.18,6.41,1.23,6.46,332,3.43,1.38,8.48,7.52,1.1,7.36,7.03,7.24,71,0.73,0.34,8.48,6.15,1.18,6.41,1.23,6.46,357,3.69,1.37
"Alabama,Tuscaloosa County",8.07,6.16,1.17,6.41,1.48,6.46,364,2.8,1.43,8.07,7.38,1.01,7.36,7.03,7.24,70,0.54,0.28,8.07,6.12,1.17,6.41,1.48,6.46,375,2.88,1.43
"Alabama,Walker County",8.07,6.17,1.27,6.41,1.66,6.46,44,2.71,1.63,8.11,7.43,1.07,7.33,7.01,7.24,14,0.86,0.35,8.07,6.1,1.3,6.41,1.66,6.46,46,2.83,1.59
"Alabama,Washington County",8.18,6.21,1.11,6.41,1.49,6.46,75,3.06,1.61,8.18,7.48,1,7.36,7.03,7.24,22,0.9,0.27,8.18,6.19,1.12,6.41,1.49,6.46,77,3.14,1.57
"Alabama,Wilcox County",8.41,6.48,1.23,6.41,1.48,6.46,168,2.53,1.09,8.41,7.51,1.09,7.36,7.03,7.24,44,0.66,0.39,8.41,6.39,1.24,6.41,1.48,6.46,178,2.68,1.12
"Alabama,Winston County",6.77,6.46,NA,6.41,6.41,6.46,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,6.39,NA,6.41,5,6.46,NA,NA,0.34
"Arizona,Cochise County",7.93,6.37,1.16,6.41,1.48,6.46,229,2.85,1.15,7.93,7.38,1,7.36,7.07,7.44,48,0.6,0.18,7.93,6.27,1.16,6.41,1.48,6.46,244,3.03,1.18
"Arizona,Coconino County",8.26,6.41,1.2,6.41,1.49,6.46,76,3.41,1.21,8.26,7.46,1.06,7.36,7.07,7.44,17,0.76,0.29,8.26,6.2,1.24,6.41,1.49,6.46,88,3.95,1.23
"Arizona,Graham County",8.5,6.19,1.24,6.64,1.23,6.85,229,5.52,2,8.5,7.9,1.07,7.92,7.03,7.83,108,2.61,0.43,8.5,5.98,1.25,6.41,1.23,6.65,270,6.51,1.86
"Arizona,Greenlee County",8.07,6.06,1.26,6.41,1.6,6.46,43,4.15,1.68,8.07,7.61,1.1,7.53,7.07,7.24,10,0.96,0.38,8.07,6.03,1.33,6.41,2,6.46,45,4.34,1.52
"Arizona,Maricopa County",8.5,6.33,1.17,6.41,1.23,6.46,3922,3.58,1.34,8.54,7.51,1.05,7.36,7.03,7.24,1023,0.93,0.36,8.5,6.24,1.17,6.41,1.23,6.46,4173,3.81,1.33
"Arizona,Mohave County",7.93,6.49,1.07,6.41,1.89,6.46,15,2.04,1.37,7.93,7.42,1,7.36,7.03,7.24,5,0.68,0.4,7.93,6.32,1.06,6.41,1.89,6.46,17,2.31,1.38
"Arizona,Navajo County",7.93,6.5,1.17,6.41,2.76,6.46,30,3.83,0.88,7.93,7.63,1,7.72,7.33,7.63,6,0.77,0.24,7.93,6.5,1.17,6.41,2.76,6.46,30,3.83,0.88
"Arizona,Pima County",8.54,6.3,1.21,6.41,1.23,6.46,930,3.22,1.39,8.54,7.49,1,7.36,7.01,7.44,235,0.81,0.35,8.54,6.23,1.21,6.41,1.23,6.46,985,3.42,1.38
"Arizona,Pinal County",8.41,6.49,1.2,6.41,1.48,6.46,64,2.98,1.21,8.41,7.57,1.06,7.36,7.07,7.24,16,0.74,0.46,8.41,6.41,1.21,6.41,1.48,6.46,67,3.12,1.23
"Arizona,Santa Cruz County",7.72,6.51,1.24,6.41,1.49,6.46,94,3.1,1.02,8.07,7.4,1,7.36,7.07,7.44,28,0.92,0.24,7.72,6.35,1.22,6.41,1.49,6.46,103,3.39,1.09
"Arizona,Yavapai County",7.72,6.41,1.07,6.41,1.49,6.46,28,3.25,1.39,7.72,7.34,1,7.36,7.07,7.44,10,1.16,0.18,7.72,6.33,1.07,6.41,1.49,6.46,29,3.36,1.43
"Arizona,Yuma County",8.37,6.58,1.27,6.41,1.49,6.46,118,3.1,1.29,8.37,7.49,1,7.36,7.03,7.44,48,1.26,0.38,8.37,6.45,1.25,6.41,1.49,6.46,128,3.37,1.31
"Arkansas,Arkansas County",6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.41,6.41,NA,6.41,6.41,6.46,NA,NA,0
"Arkansas,Baxter County",8.5,6.35,1.24,6.41,1.88,6.46,104,5.63,1.27,8.5,7.54,1.24,7.48,7.03,7.44,25,1.35,0.41,8.41,6.16,1.23,6.41,1.88,6.46,120,6.49,1.24
"Arkansas,Benton County",8.54,6.25,1.2,6.66,1.17,6.46,666,8.45,1.92,8.54,7.76,1.09,7.79,7.03,7.83,306,3.88,0.45,8.54,6.13,1.23,6.53,1.17,6.46,747,9.47,1.81
"Arkansas,Boone County",8.19,6.41,1.18,6.41,1.49,6.46,122,2.76,1.25,8.19,7.36,1.09,7.33,7.07,7.24,35,0.79,0.25,8.19,6.27,1.17,6.41,1.49,6.46,136,3.08,1.25
"Arkansas,Bradley County",7.93,6.27,1.18,6.41,1.48,6.46,211,3.1,1.46,7.93,7.35,1.05,7.33,7.07,7.24,63,0.93,0.23,7.93,6.24,1.18,6.41,1.48,6.46,216,3.18,1.46
"Arkansas,Calhoun County",7.72,6.35,1.18,6.41,1.77,6.46,39,1.78,1.13,7.72,7.38,1,7.36,7.17,7.44,7,0.32,0.17,7.72,6.31,1.18,6.41,1.77,6.46,40,1.83,1.14
"Arkansas,Clark County",7.93,6.56,1.29,6.41,1.77,6.46,24,2.42,1.14,7.93,7.41,1,7.35,7.07,7.05,8,0.81,0.34,7.93,6.56,1.29,6.41,1.77,6.46,24,2.42,1.14
"Arkansas,Clay County",7.33,6.15,1.09,6.41,1.68,6.46,35,1.82,1.3,7.33,7.2,1,7.2,7.07,7.24,4,0.21,0.15,7.33,6.09,1.11,6.41,1.68,6.46,36,1.87,1.3
"Arkansas,Cleburne County",7.93,6.32,1.12,6.41,1.48,6.46,17,2.96,1.33,7.93,7.54,1,7.36,7.33,7.44,3,0.52,0.34,7.93,6.32,1.12,6.41,1.48,6.46,17,2.96,1.33
"Arkansas,Columbia County",7.33,6.52,1.18,6.41,6.41,6.46,17,2.03,0.24,7.33,7.33,1,7.33,7.33,7.33,1,0.12,NA,7.33,6.42,1.17,6.41,4.87,6.46,18,2.15,0.45
"Arkansas,Conway County",8.5,6.19,1.19,6.57,1.17,6.46,2266,11.73,1.99,8.54,7.83,1.11,7.91,7.01,8.02,996,5.16,0.48,8.5,6.07,1.22,6.5,1.17,6.46,2540,13.15,1.88
"Arkansas,Craighead County",8.43,6.44,1.17,6.41,1.49,6.46,162,2.7,1.01,8.43,7.44,1.17,7.36,7.03,7.24,29,0.48,0.3,8.43,6.35,1.16,6.41,1.49,6.46,171,2.84,1.04
"Arkansas,Crawford County",7.93,6.34,1.16,6.41,1.48,6.46,328,3.27,0.99,7.93,7.4,1.02,7.36,7.03,7.44,40,0.4,0.21,7.93,6.21,1.16,6.41,1.48,6.46,359,3.58,1.03
"Arkansas,Crittenden County",7.36,6.22,1.32,6.41,1.77,6.46,28,3.21,1.28,7.36,7.36,1,7.36,7.36,7.44,4,0.46,0,7.36,6.17,1.31,6.41,1.77,6.46,29,3.32,1.29
"Arkansas,Cross County",7.79,6.9,1.4,6.41,6.41,6.46,5,1.5,0.68,7.79,7.63,1.5,7.63,7.48,7.83,2,0.6,0.22,7.79,6.58,1.33,6.41,5,6.46,6,1.8,0.99
"Arkansas,Dallas County",7.36,6.73,1.33,6.41,6.41,6.46,3,1.3,0.55,7.36,7.36,1,7.36,7.36,7.36,1,0.43,NA,7.36,6.73,1.33,6.41,6.41,6.46,3,1.3,0.55
