"feature","coefficient"
"en.hedo.happiness.delta_one_of_5__max",-1.83029059195421
"en.hedo.happiness.delta_one_of_5__mean",4.63568521647774
"en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet",NA
"en.hedo.happiness.delta_one_of_5__median",-0.00319428936592101
"en.hedo.happiness.delta_one_of_5__min",-0.0189471878770539
"en.hedo.happiness.delta_one_of_5__mode",NA
"en.hedo.happiness.delta_one_of_5__num_tweets",-1.29260184675176e-06
"en.hedo.happiness.delta_one_of_5__num_tweets_percentage",0.371367787614031
"en.hedo.happiness.delta_one_of_5__sd",NA
"en.hedo.happiness.more_than_7__max",-0.0614787209791681
"en.hedo.happiness.more_than_7__mean",NA
"en.hedo.happiness.more_than_7__mean_word_count_per_tweet",4.69799632974397
"en.hedo.happiness.more_than_7__median",NA
"en.hedo.happiness.more_than_7__min",NA
"en.hedo.happiness.more_than_7__mode",-2.18510146246348
"en.hedo.happiness.more_than_7__num_tweets",-9.22509781141404e-07
"en.hedo.happiness.more_than_7__num_tweets_percentage",NA
"en.hedo.happiness.more_than_7__sd",0.562350751244935
"en.hedo.happiness.no_filter__max",-2.57667597279048
"en.hedo.happiness.no_filter__mean",NA
"en.hedo.happiness.no_filter__mean_word_count_per_tweet",NA
"en.hedo.happiness.no_filter__median",NA
"en.hedo.happiness.no_filter__min",NA
"en.hedo.happiness.no_filter__mode",NA
"en.hedo.happiness.no_filter__num_tweets",-7.82164625026528e-07
"en.hedo.happiness.no_filter__num_tweets_percentage",0.22892152761757
"en.hedo.happiness.no_filter__sd",NA
