"entity","en.hedo.happiness.delta_one_of_5__max","en.hedo.happiness.delta_one_of_5__mean","en.hedo.happiness.delta_one_of_5__mean_word_count_per_tweet","en.hedo.happiness.delta_one_of_5__median","en.hedo.happiness.delta_one_of_5__min","en.hedo.happiness.delta_one_of_5__mode","en.hedo.happiness.delta_one_of_5__num_tweets","en.hedo.happiness.delta_one_of_5__num_tweets_percentage","en.hedo.happiness.delta_one_of_5__sd","en.hedo.happiness.more_than_7__max","en.hedo.happiness.more_than_7__mean","en.hedo.happiness.more_than_7__mean_word_count_per_tweet","en.hedo.happiness.more_than_7__median","en.hedo.happiness.more_than_7__min","en.hedo.happiness.more_than_7__mode","en.hedo.happiness.more_than_7__num_tweets","en.hedo.happiness.more_than_7__num_tweets_percentage","en.hedo.happiness.more_than_7__sd","en.hedo.happiness.no_filter__max","en.hedo.happiness.no_filter__mean","en.hedo.happiness.no_filter__mean_word_count_per_tweet","en.hedo.happiness.no_filter__median","en.hedo.happiness.no_filter__min","en.hedo.happiness.no_filter__mode","en.hedo.happiness.no_filter__num_tweets","en.hedo.happiness.no_filter__num_tweets_percentage","en.hedo.happiness.no_filter__sd"
"Alabama",8.54,6.22,1.21,6.41,1.17,6.46,13804,4.25,1.69,8.54,7.71,1.09,7.72,7.01,7.44,4491,1.38,0.44,8.54,6.11,1.23,6.41,1.17,6.46,15130,4.66,1.61
"Arizona",8.54,6.33,1.18,6.41,1.23,6.46,5778,3.5,1.36,8.54,7.53,1.04,7.36,7.01,7.24,1554,0.94,0.37,8.54,6.24,1.19,6.41,1.23,6.46,6179,3.74,1.35
"Arkansas",8.54,6.25,1.18,6.41,1.17,6.46,11200,4.29,1.68,8.54,7.68,1.08,7.7,7.01,7.44,3776,1.45,0.45,8.54,6.13,1.19,6.41,1.17,6.46,12410,4.75,1.62
"California",8.54,6.28,1.19,6.41,1.11,6.46,93023,4.42,1.66,8.54,7.71,1.08,7.71,7.01,7.24,31821,1.51,0.45,8.54,6.16,1.2,6.41,1.11,6.46,102833,4.89,1.6
"Colorado",8.54,6.37,1.19,6.41,1.23,6.46,5857,5.31,1.61,8.54,7.75,1.08,7.76,7.01,7.44,1984,1.8,0.48,8.54,6.25,1.2,6.41,1.23,6.46,6401,5.8,1.57
"Connecticut",8.5,6.28,1.18,6.41,1.17,6.46,6614,2.94,1.36,8.5,7.48,1.04,7.36,7.01,7.24,1494,0.66,0.34,8.5,6.18,1.18,6.41,1.34,6.46,7130,3.17,1.35
"Delaware",8.5,6.34,1.18,6.41,1.48,6.46,599,2.6,1.29,8.5,7.45,1.01,7.36,7.03,7.44,142,0.62,0.33,8.5,6.27,1.18,6.41,1.48,6.46,630,2.74,1.29
"Florida",8.54,6.26,1.19,6.41,1.11,6.46,45490,4.08,1.69,8.54,7.7,1.09,7.71,7.01,7.24,15588,1.4,0.44,8.54,6.14,1.21,6.41,1.11,6.46,50599,4.53,1.62
"Georgia",8.5,6.35,1.17,6.41,1.17,6.46,19169,2.59,1.32,8.5,7.48,1.04,7.36,7.01,7.24,4829,0.65,0.36,8.5,6.26,1.16,6.41,1.17,6.46,20501,2.77,1.32
"Idaho",8.5,6.25,1.19,6.41,1.17,6.46,2614,3.76,1.47,8.54,7.55,1.06,7.36,7.01,7.44,672,0.97,0.39,8.5,6.11,1.19,6.41,1.17,6.46,2907,4.19,1.44
