"state","max_1","min_1","mean_1","median_1","mode_1","sd_1","max_2","min_2","mean_2","median_2","mode_2","sd_2","max_3","min_3","mean_3","median_3","mode_3","sd_3","max_4","min_4","mean_4","median_4","mode_4","sd_4","max_5","min_5","mean_5","median_5","mode_5","sd_5","max_6","min_6","mean_6","median_6","mode_6","sd_6","total_tweet_count_7","percentage_7","total_tweet_count_8","percentage_8","total_tweet_count_9","percentage_9","total_tweet_count_10","percentage_10","avg_word_11","avg_word_12","avg_word_13","avg_word_14"
"alabama",8.42,1.44,5.54,5.52,5.52,0.62,8.42,7.02,7.49,7.38,7.22,0.36,8.42,0,5.96,6.24,6.24,1.16,8.72,0,6.33,6.87,7.47,1.83,7.72,0,5.31,5.43,5.43,0.98,7.88,0,5.54,5.6,5.56,1.02,2226,30.19,6432,87.24,2230,30.25,5439,73.77,1.34321653189578,6.87126865671642,2.78102592388307,1.33542600896861
"arizona",8.42,2.5,5.55,5.52,5.54,0.59,8.44,7.01,7.55,7.42,7.22,0.4,8.44,0,6.04,6.25,6.26,1.14,8.72,0,6.44,6.91,7.4,1.87,7.72,0,5.5,5.51,5.43,0.96,7.39,0,5.63,5.67,5.62,0.99,2166,33.51,5960,92.22,2303,35.63,4964,76.81,1.35041551246537,7.50151006711409,2.92344883158743,1.38037342596613
"arkansas",8.42,2.06,5.56,5.51,5.48,0.61,8.42,7.02,7.48,7.37,7.22,0.37,8.42,0,5.96,6.23,6.29,1.13,8.72,0,6.25,6.8,7.39,1.86,7.72,0,5.26,5.38,5.38,1.03,7.39,0,5.51,5.58,5.56,1.07,921,31.37,2677,91.18,870,29.63,2278,77.59,1.32681867535288,6.84422861412028,2.76558384547849,1.32068965517241
"california",8.44,1.74,5.47,5.45,4.95,0.61,8.5,7.02,7.52,7.4,7.22,0.39,8.5,0,6.01,6.24,6.23,1.15,8.72,0,6.41,6.89,7.43,1.81,8.17,0,5.39,5.43,5.45,0.96,7.68,0,5.59,5.65,5.54,0.96,11674,28.34,36900,89.57,12013,29.16,27613,67.02,1.33124892924447,6.65420054200542,2.83543982906602,1.34995421626571
"colorado",8.04,1.56,5.53,5.52,5.38,0.6,8.5,7.02,7.5,7.4,7.22,0.37,8.43,1.56,5.99,6.24,6.68,1.15,8.72,0,6.38,6.87,7.37,1.82,8.17,0,5.38,5.43,5.43,0.9,7.88,0,5.61,5.72,5.81,0.99,767,31.59,2143,88.26,840,34.6,1854,76.36,1.32333767926988,7.10825944937004,2.76860841423948,1.29047619047619
"connecticut",8.42,2.32,5.52,5.49,5.43,0.62,8.43,7.02,7.49,7.38,7.22,0.38,8.43,0,5.93,6.23,6.29,1.18,8.72,0,6.37,6.87,7.42,1.82,7.72,0,5.34,5.43,5.45,1.01,7.39,0,5.59,5.64,5.57,0.99,1326,30.54,3888,89.54,1291,29.73,3277,75.47,1.29713423831071,6.63143004115226,2.62068965517241,1.29202168861348
"delaware",8.3,2.5,5.53,5.48,5.4,0.61,8.42,7.02,7.48,7.34,7.22,0.36,8.42,0,5.91,6.23,6.37,1.19,8.72,0,6.21,6.73,7.43,1.95,8.17,0,5.24,5.38,5.45,1.15,7.39,0,5.45,5.59,5.7,1.14,649,29.7,1972,90.25,602,27.55,1614,73.87,1.28043143297381,6.19320486815416,2.62019826517968,1.27906976744186
"florida",8.42,1.74,5.51,5.49,5.48,0.61,8.5,7.02,7.51,7.38,7.22,0.39,8.42,0,5.93,6.23,6.23,1.17,8.72,0,6.37,6.87,7.47,1.84,8.17,0,5.38,5.43,5.45,0.97,7.88,0,5.57,5.6,5.82,0.97,8852,32.8,24741,91.69,8191,30.36,20558,76.19,1.33088567555355,6.92874176468211,2.79876447125207,1.32535709925528
"georgia",8.42,1.54,5.5,5.48,5.46,0.61,8.5,7.01,7.47,7.33,7.22,0.37,8.42,0,5.87,6.19,6.21,1.18,8.72,0,6.21,6.73,7.43,1.87,8.1,0,5.27,5.38,5.43,1,7.39,0,5.49,5.57,5.54,1,9802,30.54,29358,91.46,8614,26.83,24250,75.55,1.30361150785554,6.47642891205123,2.66577319587629,1.28349198978407
"idaho",7.68,1.3,5.58,5.59,5.6,0.64,8.42,7.02,7.78,7.66,7.26,0.51,8.42,1.3,6.16,6.33,6.32,1.16,8.72,1.25,7.24,7.49,8.56,1.64,7.47,3.14,5.75,5.86,6.43,0.8,7.28,3.5,6.14,6.23,7.06,0.96,126,37.72,302,90.42,124,37.13,262,78.44,1.30952380952381,7.09271523178808,2.83206106870229,1.28225806451613
