"state_county","max_1","min_1","mean_1","median_1","mode_1","sd_1","max_2","min_2","mean_2","median_2","mode_2","sd_2","max_3","min_3","mean_3","median_3","mode_3","sd_3","max_4","min_4","mean_4","median_4","mode_4","sd_4","max_5","min_5","mean_5","median_5","mode_5","sd_5","max_6","min_6","mean_6","median_6","mode_6","sd_6","total_tweet_count_7","percentage_7","total_tweet_count_8","percentage_8","total_tweet_count_9","percentage_9","total_tweet_count_10","percentage_10","avg_word_11","avg_word_12","avg_word_13","avg_word_14"
"alabama,autauga",7.28,3.06,5.53,5.51,5.48,0.67,7.92,7.04,7.38,7.28,7.23,0.25,7.92,1.8,5.8,6.24,6.48,1.22,8.22,0,5.85,6.86,7.29,2.14,7.49,0,5.47,5.51,5.51,1.18,6.88,0,5.31,5.54,5.84,1.14,50,25.91,171,88.6,44,22.8,135,69.95,1.26,5.33918128654971,2.54814814814815,1.34090909090909
"alabama,baldwin",7.92,3.85,5.61,5.61,5.63,0.56,8.42,7.04,7.57,7.55,7.23,0.38,7.92,2.5,6.07,6.25,6.29,1.06,8.72,1.61,6.88,7.47,7.64,1.66,7.72,2.83,5.66,5.69,6.26,0.96,7.39,3.02,5.82,5.87,6.26,0.94,126,44.06,275,96.15,130,45.45,246,86.01,1.46825396825397,8.10909090909091,3.10162601626016,1.54615384615385
"alabama,barbour",6.4,4.21,5.51,5.58,5.7,0.48,7.46,7.2,7.32,7.31,7.22,0.13,7.46,3.34,6.13,6.31,6.48,1.12,7.47,2.12,5.43,6.32,6.68,2.27,6.95,4.19,5.06,4.58,4.44,0.96,6.41,3.24,5.21,5.34,5.18,1.02,7,26.92,21,80.77,4,15.38,17,65.38,1,5.14285714285714,2.23529411764706,1
"alabama,bibb",5.84,4.88,5.38,5.42,5.54,0.48,7.2,7.2,7.2,7.2,7.2,NA,6.53,3.56,5.49,6.38,6.45,1.67,7.47,3.93,5.7,5.7,3.93,2.5,5.43,3.39,4.41,4.41,5.43,1.44,6.41,4.35,5.38,5.38,6.4,1.46,2,50,3,75,1,25,3,75,1,8,2.33333333333333,1
"alabama,blount",6.43,4.13,5.52,5.51,5.34,0.48,7.96,7.08,7.37,7.32,7.32,0.26,7.16,2.34,5.82,6.14,6.2,1.14,7.71,2.12,5.82,7.05,7.23,2.13,6.95,4.72,5.61,5.44,5.37,0.7,6.41,2.94,5.29,5.58,5.68,0.98,12,38.71,29,93.55,8,25.81,24,77.42,1.58333333333333,5.79310344827586,2.54166666666667,1.375
"alabama,butler",5.44,4.73,5.09,5.09,5.1,0.25,7.96,7.96,7.96,7.96,7.96,NA,6.24,3.88,4.95,4.73,4.3,1.19,5.12,5.12,5.12,5.12,5.12,NA,5.25,5.25,5.25,5.25,5.25,NA,5.04,5.04,5.04,5.04,5.04,NA,1,12.5,5,62.5,1,12.5,3,37.5,2,7.2,2.66666666666667,1
"alabama,calhoun",7.44,4.57,5.69,5.63,5.51,0.51,8.42,7.06,7.55,7.4,7.29,0.45,8.42,2.98,6.24,6.41,6.5,0.94,8.72,2.95,6.81,7.05,7.58,1.41,7.36,2.83,5.33,5.32,5.4,0.87,7.11,4.11,5.77,5.66,6.39,0.87,37,38.95,86,90.53,31,32.63,77,81.05,1.24324324324324,6.93023255813953,2.68831168831169,1.09677419354839
"alabama,chambers",7.22,3.93,5.45,5.41,5.37,0.51,8.3,7.04,7.44,7.29,7.23,0.35,8.3,2.64,5.79,6.1,6.48,1.13,8.38,2.12,6.18,6.45,7.14,1.64,7.72,2.5,5.11,5.17,5.21,1.31,7.39,2.98,5.47,5.53,5.68,0.84,47,33.33,136,96.45,36,25.53,125,88.65,1.27659574468085,7.08088235294118,2.576,1.19444444444444
"alabama,cherokee",6.69,4.67,5.66,5.45,5.29,0.66,7.5,7.02,7.23,7.16,7.09,0.25,7.19,2.36,5.68,6.32,6.56,1.44,6.41,5.31,5.86,5.86,5.31,0.78,5.51,4.64,5.07,5.07,4.63,0.62,5.17,4.63,4.9,4.9,5.16,0.38,2,20,10,100,3,30,10,100,1,3.9,1.8,1.33333333333333
"alabama,chilton",5.95,2.32,5.26,5.78,5.85,1.23,7.8,7.72,7.76,7.76,7.72,0.06,7.25,2.32,5.83,6.32,6.26,1.77,8.72,7.33,7.87,7.57,7.45,0.74,6.44,5.8,6.06,5.94,5.87,0.33,7.11,6.14,6.54,6.37,6.26,0.51,3,37.5,8,100,2,25,6,75,1.33333333333333,6.5,3.16666666666667,2
